stimulus_id,aoi_name,device,mean_dwell_share,ci95_lower,ci95_upper,n_participants
SYN-FACE-01,left_eye,professional,0.2604070572972348,0.2506347575651989,0.2701793570292707,500
SYN-FACE-01,left_eye,webcam,0.24960695520435922,0.24019704545633538,0.2590168649523831,500
SYN-FACE-01,mouth,professional,0.21745999941361485,0.20878444134519664,0.22613555748203307,500
SYN-FACE-01,mouth,webcam,0.22173560529409275,0.21305114181755316,0.23042006877063234,500
SYN-FACE-01,nose,professional,0.19992618469435333,0.1914060233226093,0.20844634606609735,500
SYN-FACE-01,nose,webcam,0.1991811035336191,0.19050397646842301,0.20785823059881517,500
SYN-FACE-01,other,professional,0.06993291667434184,0.06488356773392816,0.07498226561475553,500
SYN-FACE-01,other,webcam,0.07547408905826908,0.07012351566686577,0.08082466244967239,500
SYN-FACE-01,right_eye,professional,0.2522738419204551,0.24287944983989396,0.26166823400101624,500
SYN-FACE-01,right_eye,webcam,0.25400224690965983,0.24458512171178146,0.2634193721075382,500
SYN-FACE-02,left_eye,professional,0.21320472776128457,0.2050131746296342,0.22139628089293495,500
SYN-FACE-02,left_eye,webcam,0.21102587800372374,0.20208018787907966,0.21997156812836782,500
SYN-FACE-02,mouth,professional,0.30024280032422596,0.2908476094499322,0.3096379911985197,500
SYN-FACE-02,mouth,webcam,0.30336131520062026,0.29392415085573453,0.312798479545506,500
SYN-FACE-02,nose,professional,0.20245732888991738,0.19352975015903376,0.211384907620801,500
SYN-FACE-02,nose,webcam,0.18908437920955315,0.1808559518786843,0.197312806540422,500
SYN-FACE-02,other,professional,0.06605758835842096,0.06109083377885333,0.07102434293798858,500
SYN-FACE-02,other,webcam,0.07548938370579966,0.07004519031280838,0.08093357709879094,500
SYN-FACE-02,right_eye,professional,0.21803755466615116,0.20948080311640688,0.22659430621589544,500
SYN-FACE-02,right_eye,webcam,0.2210390438803032,0.2122464812436972,0.22983160651690923,500
SYN-FACE-03,left_eye,professional,0.3027129856839388,0.29292561339324175,0.3125003579746358,500
SYN-FACE-03,left_eye,webcam,0.29195180613248645,0.28244071999289333,0.30146289227207956,500
SYN-FACE-03,mouth,professional,0.19927649115174828,0.19020279205442644,0.20835019024907012,500
SYN-FACE-03,mouth,webcam,0.1993425283928703,0.1904149169826983,0.20827013980304232,500
SYN-FACE-03,nose,professional,0.21409394340147458,0.20492096539482985,0.22326692140811932,500
SYN-FACE-03,nose,webcam,0.2063197028751559,0.19828609915293502,0.2143533065973768,500
SYN-FACE-03,other,professional,0.066687559382944,0.06168631789972026,0.07168880086616775,500
SYN-FACE-03,other,webcam,0.07980525980032575,0.07433150590185089,0.08527901369880062,500
SYN-FACE-03,right_eye,professional,0.21722902037989433,0.2084529930590898,0.22600504770069887,500
SYN-FACE-03,right_eye,webcam,0.2225807027991615,0.21400269328305782,0.2311587123152652,500
