participant_id,synthetic,device,stimulus_id,stimulus_version,task_version,coordinate_transform_version,fixation_index,x_norm,y_norm,duration_ms
SYN-W-0001,True,webcam,SYN-FACE-01,v1,free-view-face-v1,normalized-stimulus-v1,0,0.37856,0.427054,208.731503
SYN-W-0001,True,webcam,SYN-FACE-01,v1,free-view-face-v1,normalized-stimulus-v1,1,0.576339,0.56441,278.746668
SYN-W-0001,True,webcam,SYN-FACE-01,v1,free-view-face-v1,normalized-stimulus-v1,2,0.634813,0.447724,180.00907
SYN-W-0001,True,webcam,SYN-FACE-01,v1,free-view-face-v1,normalized-stimulus-v1,3,0.465548,0.561006,170.00652
SYN-W-0001,True,webcam,SYN-FACE-01,v1,free-view-face-v1,normalized-stimulus-v1,4,0.682569,0.398299,212.874646
SYN-W-0001,True,webcam,SYN-FACE-01,v1,free-view-face-v1,normalized-stimulus-v1,5,0.626038,0.399598,245.533947
SYN-W-0001,True,webcam,SYN-FACE-01,v1,free-view-face-v1,normalized-stimulus-v1,6,0.698042,0.386258,227.0902
SYN-W-0001,True,webcam,SYN-FACE-01,v1,free-view-face-v1,normalized-stimulus-v1,7,0.551151,0.525077,228.854685
SYN-W-0001,True,webcam,SYN-FACE-01,v1,free-view-face-v1,normalized-stimulus-v1,8,0.337868,0.353867,260.743934
SYN-W-0001,True,webcam,SYN-FACE-01,v1,free-view-face-v1,normalized-stimulus-v1,9,0.273405,0.337549,158.471328
SYN-W-0001,True,webcam,SYN-FACE-01,v1,free-view-face-v1,normalized-stimulus-v1,10,0.513901,0.558659,287.199679
SYN-W-0001,True,webcam,SYN-FACE-01,v1,free-view-face-v1,normalized-stimulus-v1,11,0.698963,0.422482,173.154595
SYN-W-0001,True,webcam,SYN-FACE-01,v1,free-view-face-v1,normalized-stimulus-v1,12,0.682755,0.336672,171.065829
SYN-W-0001,True,webcam,SYN-FACE-01,v1,free-view-face-v1,normalized-stimulus-v1,13,0.314369,0.41661,216.762914
SYN-W-0001,True,webcam,SYN-FACE-01,v1,free-view-face-v1,normalized-stimulus-v1,14,0.598754,0.413959,149.988708
SYN-W-0001,True,webcam,SYN-FACE-01,v1,free-view-face-v1,normalized-stimulus-v1,15,0.875754,0.181317,278.439179
SYN-W-0001,True,webcam,SYN-FACE-01,v1,free-view-face-v1,normalized-stimulus-v1,16,0.464593,0.580979,259.09918
SYN-W-0001,True,webcam,SYN-FACE-01,v1,free-view-face-v1,normalized-stimulus-v1,17,0.485086,0.56965,198.219718
SYN-W-0001,True,webcam,SYN-FACE-01,v1,free-view-face-v1,normalized-stimulus-v1,18,0.369696,0.275603,264.107049
SYN-W-0001,True,webcam,SYN-FACE-01,v1,free-view-face-v1,normalized-stimulus-v1,19,0.531373,0.720969,281.507945
SYN-W-0001,True,webcam,SYN-FACE-01,v1,free-view-face-v1,normalized-stimulus-v1,20,0.521475,0.741269,380.144314
