comparison_unit_id,scenario,stimulus_id,estimated_lag_ms,lag_sign_convention,peak_position_correlation,resample_hz,n_aligned
SYN-P001,near_equivalent,SYN-FACE-01,0.0,positive_webcam_delayed,0.9965678045093941,30.0,90
SYN-P001,near_equivalent,SYN-FACE-02,0.0,positive_webcam_delayed,0.9951640867519692,30.0,90
SYN-P001,near_equivalent,SYN-FACE-03,0.0,positive_webcam_delayed,0.9963981574254042,30.0,90
SYN-P002,near_equivalent,SYN-FACE-01,0.0,positive_webcam_delayed,0.9958836579533961,30.0,90
SYN-P002,near_equivalent,SYN-FACE-02,0.0,positive_webcam_delayed,0.9963714921609242,30.0,90
SYN-P002,near_equivalent,SYN-FACE-03,0.0,positive_webcam_delayed,0.9961312700953122,30.0,90
SYN-P003,near_equivalent,SYN-FACE-01,0.0,positive_webcam_delayed,0.9966878327274857,30.0,90
SYN-P003,near_equivalent,SYN-FACE-02,0.0,positive_webcam_delayed,0.9958575376328773,30.0,90
SYN-P003,near_equivalent,SYN-FACE-03,0.0,positive_webcam_delayed,0.9956900641420833,30.0,88
SYN-P004,systematic_bias,SYN-FACE-01,0.0,positive_webcam_delayed,0.9892879249383365,30.0,90
SYN-P004,systematic_bias,SYN-FACE-02,0.0,positive_webcam_delayed,0.991801398384408,30.0,90
SYN-P004,systematic_bias,SYN-FACE-03,0.0,positive_webcam_delayed,0.9900300505897549,30.0,90
SYN-P005,systematic_bias,SYN-FACE-01,0.0,positive_webcam_delayed,0.9897539227703352,30.0,90
SYN-P005,systematic_bias,SYN-FACE-02,0.0,positive_webcam_delayed,0.9881945682938129,30.0,90
SYN-P005,systematic_bias,SYN-FACE-03,0.0,positive_webcam_delayed,0.9892285759800888,30.0,90
SYN-P006,systematic_bias,SYN-FACE-01,0.0,positive_webcam_delayed,0.9898925343372024,30.0,90
SYN-P006,systematic_bias,SYN-FACE-02,0.0,positive_webcam_delayed,0.9899047415932403,30.0,90
SYN-P006,systematic_bias,SYN-FACE-03,0.0,positive_webcam_delayed,0.9895417434185865,30.0,89
SYN-P007,temporal_lag,SYN-FACE-01,233.33333333333334,positive_webcam_delayed,0.9911980067355187,30.0,83
SYN-P007,temporal_lag,SYN-FACE-02,233.33333333333334,positive_webcam_delayed,0.9910235745358489,30.0,83
SYN-P007,temporal_lag,SYN-FACE-03,233.33333333333334,positive_webcam_delayed,0.9878961318826213,30.0,83
SYN-P008,temporal_lag,SYN-FACE-01,233.33333333333334,positive_webcam_delayed,0.9868622949189517,30.0,83
SYN-P008,temporal_lag,SYN-FACE-02,233.33333333333334,positive_webcam_delayed,0.9900254007363476,30.0,83
SYN-P008,temporal_lag,SYN-FACE-03,233.33333333333334,positive_webcam_delayed,0.9889545531407797,30.0,83
SYN-P009,temporal_lag,SYN-FACE-01,233.33333333333334,positive_webcam_delayed,0.9895988998498905,30.0,83
SYN-P009,temporal_lag,SYN-FACE-02,233.33333333333334,positive_webcam_delayed,0.9910097749621883,30.0,83
SYN-P009,temporal_lag,SYN-FACE-03,233.33333333333334,positive_webcam_delayed,0.9910757121080651,30.0,83
SYN-P010,high_dropout,SYN-FACE-01,33.333333333333336,positive_webcam_delayed,0.9812562452886175,30.0,87
SYN-P010,high_dropout,SYN-FACE-02,33.333333333333336,positive_webcam_delayed,0.984818595406699,30.0,88
SYN-P010,high_dropout,SYN-FACE-03,33.333333333333336,positive_webcam_delayed,0.986971157627145,30.0,85
SYN-P011,high_dropout,SYN-FACE-01,33.333333333333336,positive_webcam_delayed,0.987496160916278,30.0,89
SYN-P011,high_dropout,SYN-FACE-02,33.333333333333336,positive_webcam_delayed,0.9820724063362637,30.0,88
SYN-P011,high_dropout,SYN-FACE-03,33.333333333333336,positive_webcam_delayed,0.9830188174406668,30.0,88
SYN-P012,high_dropout,SYN-FACE-01,33.333333333333336,positive_webcam_delayed,0.9864670038922204,30.0,88
SYN-P012,high_dropout,SYN-FACE-02,33.333333333333336,positive_webcam_delayed,0.9885009953491296,30.0,87
SYN-P012,high_dropout,SYN-FACE-03,66.66666666666667,positive_webcam_delayed,0.9826795697482578,30.0,86
