comparison_unit_id,scenario,stimulus_id,total_variation_distance,lin_concordance,dominant_aoi_match
SYN-P001,near_equivalent,SYN-FACE-01,0.04234114136989778,0.9819043099819492,True
SYN-P001,near_equivalent,SYN-FACE-02,0.07303370786516857,0.9588262939577841,False
SYN-P001,near_equivalent,SYN-FACE-03,0.018738529894716527,0.9969979345027216,True
SYN-P002,near_equivalent,SYN-FACE-01,0.01686903027359559,0.9985445073495067,True
SYN-P002,near_equivalent,SYN-FACE-02,0.03151965093940282,0.9928202190818085,True
SYN-P002,near_equivalent,SYN-FACE-03,0.02286164761529365,0.996566972771841,True
SYN-P003,near_equivalent,SYN-FACE-01,0.019662921348314613,0.9984665459689944,True
SYN-P003,near_equivalent,SYN-FACE-02,0.04045580418244898,0.9894812594481991,True
SYN-P003,near_equivalent,SYN-FACE-03,0.027298850574712655,0.995605271351976,True
SYN-P004,systematic_bias,SYN-FACE-01,0.13181693614688955,0.9327342116888911,True
SYN-P004,systematic_bias,SYN-FACE-02,0.07575404099316782,0.9743363738163178,True
SYN-P004,systematic_bias,SYN-FACE-03,0.17412435059493886,0.9032329637492613,True
SYN-P005,systematic_bias,SYN-FACE-01,0.14050154586052904,0.929007076633796,True
SYN-P005,systematic_bias,SYN-FACE-02,0.11893219783819194,0.9455598907995469,True
SYN-P005,systematic_bias,SYN-FACE-03,0.15564971751412426,0.9050929342624626,True
SYN-P006,systematic_bias,SYN-FACE-01,0.10388833499501493,0.9447993104375829,True
SYN-P006,systematic_bias,SYN-FACE-02,0.1329281183932347,0.9127160044215139,True
SYN-P006,systematic_bias,SYN-FACE-03,0.16267605633802812,0.8895970946220275,True
SYN-P007,temporal_lag,SYN-FACE-01,0.08920187793427228,0.9797996891334605,True
SYN-P007,temporal_lag,SYN-FACE-02,0.018227009113504576,0.9988467114189685,True
SYN-P007,temporal_lag,SYN-FACE-03,0.09949913311500672,0.9328899658278057,True
SYN-P008,temporal_lag,SYN-FACE-01,0.021000535045478844,0.9990191404519605,True
SYN-P008,temporal_lag,SYN-FACE-02,0.008522727272727262,0.9997429602120136,True
SYN-P008,temporal_lag,SYN-FACE-03,0.10386640798226165,0.9530156759513119,True
SYN-P009,temporal_lag,SYN-FACE-01,0.047417271993543154,0.9932179200402926,True
SYN-P009,temporal_lag,SYN-FACE-02,0.018155659084680788,0.9992414633624606,True
SYN-P009,temporal_lag,SYN-FACE-03,0.09392354384605447,0.9619277056920859,True
SYN-P010,high_dropout,SYN-FACE-01,0.08578878748370271,0.9632228270632771,True
SYN-P010,high_dropout,SYN-FACE-02,0.12836107554417414,0.9107940811513944,True
SYN-P010,high_dropout,SYN-FACE-03,0.09635734635734639,0.9676593442560648,True
SYN-P011,high_dropout,SYN-FACE-01,0.040914726546356264,0.9910825211066339,True
SYN-P011,high_dropout,SYN-FACE-02,0.0782485875706215,0.9729372478085431,False
SYN-P011,high_dropout,SYN-FACE-03,0.04784261122289294,0.9904575738179708,True
SYN-P012,high_dropout,SYN-FACE-01,0.0780776303364644,0.9649016257061336,True
SYN-P012,high_dropout,SYN-FACE-02,0.021744502100321257,0.9975465719786578,True
SYN-P012,high_dropout,SYN-FACE-03,0.050471185212033365,0.9914686262108323,True
