comparison_unit_id,scenario,accuracy_deg_professional,accuracy_deg_webcam,data_loss_professional,data_loss_webcam,accuracy_difference_deg,data_loss_difference,mean_map_similarity,map_disagreement,estimated_lag_ms,absolute_lag_ms
SYN-P001,near_equivalent,0.27656733728114147,0.4580229380502297,0.006172839506172867,0.024691358024691357,0.18145560076908823,0.01851851851851849,0.9312444395925003,0.06875556040749975,0.0,0.0
SYN-P002,near_equivalent,0.2913026435898993,0.5173008794802956,0.0092592592592593,0.012345679012345734,0.22599823589039625,0.0030864197530864335,0.9390731473000105,0.06092685269998954,0.0,0.0
SYN-P003,near_equivalent,0.262297466712306,0.47058895802362255,0.01851851851851849,0.0,0.20829149131131652,-0.01851851851851849,0.9335315106439955,0.06646848935600447,0.0,0.0
SYN-P004,systematic_bias,0.27892475214079643,2.8300533814134883,0.012345679012345734,0.04938271604938271,2.551128629272692,0.03703703703703698,0.5065479764713735,0.4934520235286265,0.0,0.0
SYN-P005,systematic_bias,0.30667806156538935,2.9363459574346407,0.024691358024691357,0.06172839506172845,2.629667895869251,0.03703703703703709,0.5175491012854513,0.4824508987145487,0.0,0.0
SYN-P006,systematic_bias,0.27073597814050115,2.8943334859374996,0.01851851851851849,0.11111111111111116,2.6235975077969984,0.09259259259259267,0.5332473627339499,0.4667526372660501,0.0,0.0
SYN-P007,temporal_lag,0.27868459653088334,0.7935853430523915,0.015432098765432056,0.0864197530864198,0.5149007465215081,0.07098765432098775,0.8530452226078982,0.14695477739210183,233.33333333333334,233.33333333333334
SYN-P008,temporal_lag,0.29170772853587196,0.9581898417057673,0.006172839506172867,0.0864197530864198,0.6664821131698953,0.08024691358024694,0.8451232224464892,0.1548767775535108,233.33333333333334,233.33333333333334
SYN-P009,temporal_lag,0.27880373940466857,0.7673666537406232,0.012345679012345734,0.024691358024691357,0.4885629143359546,0.012345679012345623,0.8615059941095047,0.13849400589049532,233.33333333333334,233.33333333333334
SYN-P010,high_dropout,0.27755356367420336,1.0465924466300338,0.01851851851851849,0.2716049382716049,0.7690388829558304,0.25308641975308643,0.8284780157514272,0.1715219842485728,33.333333333333336,33.333333333333336
SYN-P011,high_dropout,0.30746013949261514,1.0881115587499155,0.015432098765432056,0.3580246913580247,0.7806514192573004,0.34259259259259267,0.8272050731056103,0.1727949268943897,33.333333333333336,33.333333333333336
SYN-P012,high_dropout,0.27255416138092137,1.0401118571313572,0.012345679012345734,0.2962962962962963,0.7675576957504359,0.28395061728395055,0.8441164719314541,0.15588352806854588,44.44444444444445,44.44444444444445
