participant_id,comparison_unit_id,synthetic,scenario,recruitment_source,cohort_site,session_id,trial_id,stimulus_id,stimulus_version,task_type,device,tracker_make_model,acquisition_software,acquisition_version,display_width_px,display_height_px,display_width_mm,display_height_mm,viewport_width_px,viewport_height_px,viewing_distance_mm,coordinate_transform_version,timebase,sample_index,timestamp_ms,gaze_x_norm,gaze_y_norm,gaze_x_deg,gaze_y_deg,target_x_norm,target_y_norm,target_x_deg,target_y_deg,valid,blink,validity_reason,fixation_id,fixation_duration_ms
SYN-P001,SYN-P001,True,near_equivalent,synthetic_demo,synthetic_site,SYN-P001-SYN-SESSION-01,SYN-P001-SYN-CAL-webcam,SYN-CAL-GRID,v1,calibration_grid,webcam,Synthetic browser camera,Synthetic webcam estimator,1.0,1920,1080,531.0,299.0,1536,864,650.0,normalized-stimulus-v1,trial_relative_ms,0,0.0,0.2086640495716292,0.2129094799315978,-12.945877866456602,-7.4372318009370435,0.2,0.2,-13.330875761218012,-7.771658708025311,True,False,valid,,
SYN-P001,SYN-P001,True,near_equivalent,synthetic_demo,synthetic_site,SYN-P001-SYN-SESSION-01,SYN-P001-SYN-CAL-webcam,SYN-CAL-GRID,v1,calibration_grid,webcam,Synthetic browser camera,Synthetic webcam estimator,1.0,1920,1080,531.0,299.0,1536,864,650.0,normalized-stimulus-v1,trial_relative_ms,1,33.333333,0.20948095449117346,0.20305510430625515,-12.909577673152695,-7.692514614739865,0.2,0.2,-13.330875761218012,-7.771658708025311,True,False,valid,,
SYN-P001,SYN-P001,True,near_equivalent,synthetic_demo,synthetic_site,SYN-P001-SYN-SESSION-01,SYN-P001-SYN-CAL-webcam,SYN-CAL-GRID,v1,calibration_grid,webcam,Synthetic browser camera,Synthetic webcam estimator,1.0,1920,1080,531.0,299.0,1536,864,650.0,normalized-stimulus-v1,trial_relative_ms,2,66.666667,0.19605162561517153,0.19724339914752942,-13.506326722494425,-7.843069911424155,0.2,0.2,-13.330875761218012,-7.771658708025311,True,False,valid,,
SYN-P001,SYN-P001,True,near_equivalent,synthetic_demo,synthetic_site,SYN-P001-SYN-SESSION-01,SYN-P001-SYN-CAL-webcam,SYN-CAL-GRID,v1,calibration_grid,webcam,Synthetic browser camera,Synthetic webcam estimator,1.0,1920,1080,531.0,299.0,1536,864,650.0,normalized-stimulus-v1,trial_relative_ms,3,100.0,0.22796591364422014,0.19202221834904423,-12.088175360084511,-7.9783273621532285,0.2,0.2,-13.330875761218012,-7.771658708025311,True,False,valid,,
SYN-P001,SYN-P001,True,near_equivalent,synthetic_demo,synthetic_site,SYN-P001-SYN-SESSION-01,SYN-P001-SYN-CAL-webcam,SYN-CAL-GRID,v1,calibration_grid,webcam,Synthetic browser camera,Synthetic webcam estimator,1.0,1920,1080,531.0,299.0,1536,864,650.0,normalized-stimulus-v1,trial_relative_ms,4,133.333333,0.19294862682341848,0.2005999975913733,-13.644212360427987,-7.756115453006009,0.2,0.2,-13.330875761218012,-7.771658708025311,True,False,valid,,
SYN-P001,SYN-P001,True,near_equivalent,synthetic_demo,synthetic_site,SYN-P001-SYN-SESSION-01,SYN-P001-SYN-CAL-webcam,SYN-CAL-GRID,v1,calibration_grid,webcam,Synthetic browser camera,Synthetic webcam estimator,1.0,1920,1080,531.0,299.0,1536,864,650.0,normalized-stimulus-v1,trial_relative_ms,5,166.666667,0.20257191377408834,0.20369881626791425,-13.216589551248221,-7.675838915832239,0.2,0.2,-13.330875761218012,-7.771658708025311,True,False,valid,,
SYN-P001,SYN-P001,True,near_equivalent,synthetic_demo,synthetic_site,SYN-P001-SYN-SESSION-01,SYN-P001-SYN-CAL-webcam,SYN-CAL-GRID,v1,calibration_grid,webcam,Synthetic browser camera,Synthetic webcam estimator,1.0,1920,1080,531.0,299.0,1536,864,650.0,normalized-stimulus-v1,trial_relative_ms,6,200.0,0.1946249458592269,0.18942928914560012,-13.569723024419567,-8.04549856489736,0.2,0.2,-13.330875761218012,-7.771658708025311,True,False,valid,,
SYN-P001,SYN-P001,True,near_equivalent,synthetic_demo,synthetic_site,SYN-P001-SYN-SESSION-01,SYN-P001-SYN-CAL-webcam,SYN-CAL-GRID,v1,calibration_grid,webcam,Synthetic browser camera,Synthetic webcam estimator,1.0,1920,1080,531.0,299.0,1536,864,650.0,normalized-stimulus-v1,trial_relative_ms,7,233.333333,0.19985699617355354,0.1998300373409974,-13.337230315363799,-7.7760616806215666,0.2,0.2,-13.330875761218012,-7.771658708025311,True,False,valid,,
SYN-P001,SYN-P001,True,near_equivalent,synthetic_demo,synthetic_site,SYN-P001-SYN-SESSION-01,SYN-P001-SYN-CAL-webcam,SYN-CAL-GRID,v1,calibration_grid,webcam,Synthetic browser camera,Synthetic webcam estimator,1.0,1920,1080,531.0,299.0,1536,864,650.0,normalized-stimulus-v1,trial_relative_ms,8,266.666667,0.20750646179540483,0.19524003327043699,-12.997316729215108,-7.894968164304375,0.2,0.2,-13.330875761218012,-7.771658708025311,True,False,valid,,
SYN-P001,SYN-P001,True,near_equivalent,synthetic_demo,synthetic_site,SYN-P001-SYN-SESSION-01,SYN-P001-SYN-CAL-webcam,SYN-CAL-GRID,v1,calibration_grid,webcam,Synthetic browser camera,Synthetic webcam estimator,1.0,1920,1080,531.0,299.0,1536,864,650.0,normalized-stimulus-v1,trial_relative_ms,9,300.0,0.48822101737172413,0.19934501805539526,-0.523413846703636,-7.788626361803266,0.5,0.2,0.0,-7.771658708025311,True,False,valid,,
SYN-P001,SYN-P001,True,near_equivalent,synthetic_demo,synthetic_site,SYN-P001-SYN-SESSION-01,SYN-P001-SYN-CAL-webcam,SYN-CAL-GRID,v1,calibration_grid,webcam,Synthetic browser camera,Synthetic webcam estimator,1.0,1920,1080,531.0,299.0,1536,864,650.0,normalized-stimulus-v1,trial_relative_ms,10,333.333333,0.508473367790696,0.20189963213252368,0.37652471098958074,-7.722447732676069,0.5,0.2,0.0,-7.771658708025311,True,False,valid,,
SYN-P001,SYN-P001,True,near_equivalent,synthetic_demo,synthetic_site,SYN-P001-SYN-SESSION-01,SYN-P001-SYN-CAL-webcam,SYN-CAL-GRID,v1,calibration_grid,webcam,Synthetic browser camera,Synthetic webcam estimator,1.0,1920,1080,531.0,299.0,1536,864,650.0,normalized-stimulus-v1,trial_relative_ms,11,366.666667,0.5164507686740349,0.1795746809255734,0.7310105112336567,-8.30078740418852,0.5,0.2,0.0,-7.771658708025311,True,False,valid,,
SYN-P001,SYN-P001,True,near_equivalent,synthetic_demo,synthetic_site,SYN-P001-SYN-SESSION-01,SYN-P001-SYN-CAL-webcam,SYN-CAL-GRID,v1,calibration_grid,webcam,Synthetic browser camera,Synthetic webcam estimator,1.0,1920,1080,531.0,299.0,1536,864,650.0,normalized-stimulus-v1,trial_relative_ms,12,400.0,0.4924008072726136,0.1855079445359814,-0.3376796471144654,-8.147083071505731,0.5,0.2,0.0,-7.771658708025311,True,False,valid,,
SYN-P001,SYN-P001,True,near_equivalent,synthetic_demo,synthetic_site,SYN-P001-SYN-SESSION-01,SYN-P001-SYN-CAL-webcam,SYN-CAL-GRID,v1,calibration_grid,webcam,Synthetic browser camera,Synthetic webcam estimator,1.0,1920,1080,531.0,299.0,1536,864,650.0,normalized-stimulus-v1,trial_relative_ms,13,433.333333,0.49993984737614044,0.17309655125314666,-0.002672957184610025,-8.468606780456629,0.5,0.2,0.0,-7.771658708025311,True,False,valid,,
SYN-P001,SYN-P001,True,near_equivalent,synthetic_demo,synthetic_site,SYN-P001-SYN-SESSION-01,SYN-P001-SYN-CAL-webcam,SYN-CAL-GRID,v1,calibration_grid,webcam,Synthetic browser camera,Synthetic webcam estimator,1.0,1920,1080,531.0,299.0,1536,864,650.0,normalized-stimulus-v1,trial_relative_ms,14,466.666667,0.50310362785253,0.18618331862804394,0.13791359103711293,-8.129587148359889,0.5,0.2,0.0,-7.771658708025311,True,False,valid,,
SYN-P001,SYN-P001,True,near_equivalent,synthetic_demo,synthetic_site,SYN-P001-SYN-SESSION-01,SYN-P001-SYN-CAL-webcam,SYN-CAL-GRID,v1,calibration_grid,webcam,Synthetic browser camera,Synthetic webcam estimator,1.0,1920,1080,531.0,299.0,1536,864,650.0,normalized-stimulus-v1,trial_relative_ms,15,500.0,0.5008764593438431,0.20533216664191112,0.03894656874176836,-7.633526110307809,0.5,0.2,0.0,-7.771658708025311,True,False,valid,,
SYN-P001,SYN-P001,True,near_equivalent,synthetic_demo,synthetic_site,SYN-P001-SYN-SESSION-01,SYN-P001-SYN-CAL-webcam,SYN-CAL-GRID,v1,calibration_grid,webcam,Synthetic browser camera,Synthetic webcam estimator,1.0,1920,1080,531.0,299.0,1536,864,650.0,normalized-stimulus-v1,trial_relative_ms,16,533.333333,0.4930105622489644,0.20223242949985956,-0.31058442099940914,-7.713826440816525,0.5,0.2,0.0,-7.771658708025311,True,False,valid,,
SYN-P001,SYN-P001,True,near_equivalent,synthetic_demo,synthetic_site,SYN-P001-SYN-SESSION-01,SYN-P001-SYN-CAL-webcam,SYN-CAL-GRID,v1,calibration_grid,webcam,Synthetic browser camera,Synthetic webcam estimator,1.0,1920,1080,531.0,299.0,1536,864,650.0,normalized-stimulus-v1,trial_relative_ms,17,566.666667,0.5181795862643294,0.19724335342182112,0.8078326862670673,-7.843071095972818,0.5,0.2,0.0,-7.771658708025311,True,False,valid,,
SYN-P001,SYN-P001,True,near_equivalent,synthetic_demo,synthetic_site,SYN-P001-SYN-SESSION-01,SYN-P001-SYN-CAL-webcam,SYN-CAL-GRID,v1,calibration_grid,webcam,Synthetic browser camera,Synthetic webcam estimator,1.0,1920,1080,531.0,299.0,1536,864,650.0,normalized-stimulus-v1,trial_relative_ms,18,600.0,0.799807295841082,0.20443350234525892,13.322312710547326,-7.656806484330037,0.8,0.2,13.330875761218014,-7.771658708025311,True,False,valid,,
SYN-P001,SYN-P001,True,near_equivalent,synthetic_demo,synthetic_site,SYN-P001-SYN-SESSION-01,SYN-P001-SYN-CAL-webcam,SYN-CAL-GRID,v1,calibration_grid,webcam,Synthetic browser camera,Synthetic webcam estimator,1.0,1920,1080,531.0,299.0,1536,864,650.0,normalized-stimulus-v1,trial_relative_ms,19,633.333333,0.794002902536605,0.18700857297219647,13.06438722384323,-8.108208497992994,0.8,0.2,13.330875761218014,-7.771658708025311,True,False,valid,,
